Offset(P)            #Ptr   #Hnd Access Name
0x000000007e2485e8      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\PrintIsolationProxy.dll
0x000000007e248990      8      0 R--r-- \Device\HarddiskVolume1\Windows\SoftwareDistribution\DataStore\Logs\edb.chk
0x000000007e248e40      8      0 R--rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Disk Cleanup.lnk
0x000000007e24f038      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\pnidui.dll.mui
0x000000007e24f818      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB2894844_SP1~31bf3856ad364e35~x86~~6.1.1.1.mum
0x000000007e24fd40      7      0 R--rwd \Device\HarddiskVolume1\Users\IEUser\Desktop\x96dbg\release\x32\dbghelp.dll
0x000000007e24fe60      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\telephon.cpl
0x000000007e251180      8      0 R--r-- \Device\HarddiskVolume1\Windows\Microsoft.NET\Framework\v4.0.30319\System.Runtime.Serialization.Json.dll
0x000000007e2516f8      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\msinfo32.exe
0x000000007e2517e0      1      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000007e251f80      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\KernelBase.dll.mui
0x000000007e256470      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000007e257690      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
